x y u_11 u_12 u_13 u_21 u_22 u_23 u_31 u_32 u_33
196 83 -0.842829 -0.529074 0.098632 -0.089516 -0.042911 -0.995059 0.53071 -0.847477 -0.011201
83 82 0.192613 0.314359 -0.929543 0.979874 -0.112494 0.164987 -0.052703 -0.942612 -0.329704
46 185 0.047464 0.994889 -0.089118 -0.987173 0.033094 -0.156211 -0.152479 0.095388 0.98369
94 66 0.376395 0.911843 -0.163857 -0.231777 -0.078556 -0.969591 -0.897011 0.402928 0.181776
202 79 -0.524864 -0.844719 -0.104712 -0.045222 -0.095174 0.994432 -0.849992 0.526669 0.011752
71 45 0.404527 0.17204 -0.898199 0.846386 0.301582 0.438953 0.346396 -0.937791 -0.023614
95 213 -0.846605 0.050562 -0.529818 0.400847 -0.594337 -0.697208 -0.350152 -0.80262 0.482885
5 115 0.513199 0.836406 -0.192502 -0.092027 -0.169382 -0.981237 -0.853323 0.521296 -0.009948
74 137 0.171969 0.46344 -0.869281 0.978662 -0.181152 0.09702 -0.112506 -0.867412 -0.484697
125 70 -0.660653 -0.311813 -0.68287 0.20666 -0.95005 0.233876 -0.721688 0.013392 0.692088
167 154 0.44505 -0.424775 -0.788349 0.76287 -0.281219 0.582189 -0.469 -0.860514 0.19889
29 140 0.308909 0.740001 -0.597469 -0.942431 0.32279 -0.087451 0.128144 0.59009 0.797096
107 16 0.380672 0.184253 -0.906165 0.861533 0.285335 0.419937 0.335938 -0.940551 -0.050127
156 95 0.744191 -0.508855 0.43273 -0.52116 -0.037089 0.852652 -0.417824 -0.860052 -0.292791
189 145 0.748302 0.544351 -0.379113 -0.60193 0.316981 -0.732933 -0.278816 0.776658 0.564868
17 91 -0.764372 0.460969 -0.450817 0.168577 -0.531988 -0.829801 -0.622352 -0.710277 0.328924
154 111 -0.796046 0.408518 0.446588 -0.142268 0.590903 -0.794089 -0.588299 -0.695664 -0.412255
77 134 0.170788 0.462856 -0.869825 0.978943 -0.17989 0.096487 -0.111813 -0.867988 -0.483833
65 131 -0.869002 0.463651 -0.172806 0.100048 -0.177394 -0.979036 -0.484596 -0.86808 0.107766
100 126 -0.893943 0.007912 -0.448109 0.430761 0.291217 -0.854187 0.123741 -0.956626 -0.263739
143 179 -0.293866 0.837075 -0.461469 -0.082728 -0.503243 -0.860166 -0.952266 -0.2146 0.217135
106 5 -0.055331 0.980166 -0.19033 -0.998017 -0.060027 -0.019033 -0.030077 0.188898 0.981527
130 162 0.948523 0.291262 -0.124383 0.151094 -0.070995 0.985963 0.278346 -0.95401 -0.111333
93 61 0.374984 0.912631 -0.162689 -0.233061 -0.077048 -0.969404 -0.89727 0.401432 0.183807
113 8 -0.052496 0.979976 -0.192108 -0.998113 -0.057629 -0.021206 -0.031855 0.190625 0.981137
96 85 -0.129538 0.938451 0.320198 -0.830728 -0.279027 0.481698 0.541409 -0.203602 0.815737
142 161 0.290563 0.124094 -0.948776 -0.069347 -0.986211 -0.15022 -0.954348 0.109432 -0.277951
48 157 -0.157128 -0.022239 -0.987327 0.834584 -0.537491 -0.120711 -0.527997 -0.842977 0.103017
98 114 -0.826906 -0.021203 -0.561939 0.512917 0.381221 -0.769143 0.230529 -0.924245 -0.304362
216 82 -0.86926 -0.096553 -0.484823 -0.39703 -0.44801 0.801039 -0.294544 0.888811 0.351081
